X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
130.332614322263,-28.6151953884819,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.44816,0.09682,-92.19405,3.32382,-738.84363
130.333575436526,-28.6154715394781,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.45495,0.09854,-93.18662,3.39280,-738.84363
130.33453655079,-28.6157476904742,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.48033,0.10027,-94.24687,3.44632,-738.84363
130.335497665053,-28.6160238414703,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.48033,0.10027,-95.23792,3.44632,-738.84363
130.336458779316,-28.6162999924665,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.48693,0.10303,-96.22638,3.54833,-738.84363
130.33741989358,-28.6165761434626,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.51330,0.10674,-97.35045,3.65607,-738.84363
130.338381007843,-28.6168522944588,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.52079,0.10817,-99.34513,3.78747,-738.84363
130.339342122107,-28.6171284454549,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.52732,0.10954,-100.32919,3.92248,-738.84363
130.34030323637,-28.6174045964511,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.53296,0.11092,-101.51170,4.05177,-738.84363
130.341264350634,-28.6176807474472,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.55736,0.11623,-102.48550,4.20691,-739.99860
130.342225464897,-28.6179568984433,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.56228,0.11615,-103.45619,4.31029,-739.99860
130.34318657916,-28.6182330494395,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.56547,0.11590,-104.67934,4.40092,-739.99860
130.344147693424,-28.6185092004356,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.58177,0.12283,-105.63948,4.53716,-739.99860
130.345108807687,-28.6187853514318,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.57835,0.12296,-107.59000,4.59255,-739.99860
130.346069921951,-28.6190615024279,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.56980,0.12396,-108.87113,4.61923,-739.99860
130.347031036214,-28.6193376534241,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.55648,0.12590,-109.84557,4.62191,-739.99860
130.347992150477,-28.6196138044202,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.54865,0.13720,-110.82334,4.65612,-739.99860
130.348953264741,-28.6198899554163,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.52610,0.14028,-112.13342,4.62107,-736.32233
130.349914379004,-28.6201661064125,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.49524,0.14558,-113.12292,4.57179,-736.32233
130.350875493268,-28.6204422574086,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.45657,0.15307,-115.09228,4.51004,-736.32233
130.351836607531,-28.6207184084048,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.41135,0.17138,-116.35093,4.45246,-736.32233
130.352797721794,-28.6209945594009,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.36375,0.18018,-117.27263,4.36780,-736.32233
130.353758836058,-28.621270710397,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.31389,0.18961,-118.16923,4.28498,-736.32233
130.354719950321,-28.6215468613932,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.24937,0.20994,-119.29908,4.19319,-736.32233
130.355681064585,-28.6218230123893,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.19324,0.22026,-120.12431,4.11614,-736.32233
130.356642178848,-28.6220991633855,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.13787,0.23072,-120.91268,4.04933,-736.32233
130.357603293111,-28.6223753143816,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.08559,0.24095,-122.50384,3.99867,-736.86536
130.358564407375,-28.6226514653778,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.01824,0.25942,-123.12395,3.95044,-736.86536
130.359525521638,-28.6229276163739,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.02071,0.26728,-123.70695,3.96639,-736.86536
130.360486635902,-28.62320376737,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.02071,0.26728,-124.32925,3.96639,-736.86536
130.361447750165,-28.6234799183662,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.05365,0.27433,-124.80489,4.00458,-736.86536
130.362408864429,-28.6237560693623,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.10030,0.28747,-125.23513,4.04580,-736.86536
130.363369978692,-28.6240322203585,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.11686,0.29156,-125.91542,4.12129,-736.86536
130.364331092955,-28.6243083713546,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.12079,0.29393,-126.19932,4.22031,-736.86536
130.365292207219,-28.6245845223507,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.12435,0.29831,-126.44763,4.33971,-736.86536
130.366253321482,-28.6248606733469,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.10855,0.29689,-126.47826,4.46982,-736.89069
130.367214435746,-28.625136824343,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.08631,0.29425,-126.61274,4.60115,-736.89069
130.368175550009,-28.6254129753392,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.05538,0.28983,-126.71520,4.72569,-736.89069
130.369136664272,-28.6256891263353,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.01116,0.28343,-126.46786,4.84649,-736.89069
130.370097778536,-28.6259652773315,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.03430,0.27565,-126.45576,4.95685,-736.89069
130.371058892799,-28.6262414283276,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.07954,0.26721,-126.39864,5.06166,-736.89069
130.372020007063,-28.6265175793237,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.13784,0.25647,-125.79559,5.15980,-736.89069
130.372981121326,-28.6267937303199,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.17537,0.24725,-125.63194,5.24538,-736.89069
130.373942235589,-28.627069881316,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.20662,0.23799,-125.42702,5.31766,-736.89069
130.374903349853,-28.6273460323122,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.23360,0.22876,-124.52226,5.37602,-736.54797
130.375864464116,-28.6276221833083,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.27035,0.22038,-123.84534,5.43626,-736.54797
130.37682557838,-28.6278983343045,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.27460,0.21301,-123.44440,5.46975,-736.54797
130.377786692643,-28.6281744853006,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.26388,0.20659,-122.17720,5.48655,-733.24036
130.378747806906,-28.6284506362967,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.24514,0.20086,-121.65014,5.48721,-733.24036
130.37970892117,-28.6287267872929,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.22573,0.20208,-121.07928,5.51828,-733.24036
130.380670035433,-28.629002938289,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.19482,0.19945,-119.52734,5.48851,-733.24036
130.381631149697,-28.6292790892852,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.15812,0.19807,-118.85219,5.43178,-733.24036
130.38259226396,-28.6295552402813,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.11211,0.20874,-117.38372,5.43270,-733.46906
130.383553378224,-28.6298313912774,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.06848,0.20993,-115.50934,5.34901,-733.46906
130.384514492487,-28.6301075422736,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.02861,0.21112,-114.66213,5.25160,-733.46906
130.38547560675,-28.6303836932697,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.02861,0.21112,-113.78610,5.25160,-733.46906
130.386436721014,-28.6306598442659,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.01525,0.22706,-111.69417,5.25395,-733.46906
130.387397835277,-28.630935995262,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.03853,0.22797,-110.74445,5.13011,-733.46906
130.388358949541,-28.6312121462582,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.05453,0.22842,-108.77471,4.99242,-733.46906
130.389320063804,-28.6314882972543,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06296,0.22823,-106.45506,4.84668,-733.46906
130.390281178067,-28.6317644482504,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.07403,0.23988,-105.40278,4.82963,-733.46906
130.391242292331,-28.6320405992466,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.05684,0.23482,-104.33574,4.67604,-734.31042
130.392203406594,-28.6323167502427,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.02650,0.22784,-103.25465,4.51545,-734.31042
130.393164520858,-28.6325929012389,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.00191,0.22825,-100.76460,4.47483,-734.31042
130.394125635121,-28.632869052235,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.04852,0.21892,-99.64318,4.31697,-734.31042
130.395086749384,-28.6331452032311,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.10572,0.20942,-97.37668,4.16780,-734.31042
130.396047863648,-28.6334213542273,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.17252,0.19982,-94.78078,4.02731,-734.31042
130.397008977911,-28.6336975052234,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.23624,0.19131,-93.62527,4.00173,-734.31042
130.397970092175,-28.6339736562196,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.31093,0.18052,-92.46336,3.87502,-734.31042
130.398931206438,-28.6342498072157,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.38602,0.17120,-89.83245,3.76469,-734.31042
130.399892320701,-28.6345259582119,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.44993,0.16050,-88.67570,3.77030,-736.16614
130.400853434965,-28.634802109208,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.52182,0.15389,-87.52223,3.69000,-736.16614
130.401814549228,-28.6350782602041,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.59123,0.14857,-83.77428,3.61784,-736.16614
130.402775663492,-28.6353544112003,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.65490,0.14465,-82.63821,3.55169,-736.16614
130.403736777755,-28.6356305621964,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.69683,0.13412,-81.51447,3.56400,-736.16614
130.404697892019,-28.6359067131926,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.74045,0.13318,-79.01118,3.50039,-736.16614
130.405659006282,-28.6361828641887,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.77639,0.13407,-77.92316,3.44004,-736.16614
130.406620120545,-28.6364590151849,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.80524,0.13659,-76.84369,3.37999,-734.27008
130.407581234809,-28.636735166181,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.81314,0.13175,-73.43068,3.35108,-737.36401
130.408542349072,-28.6370113171771,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.82401,0.13759,-72.42298,3.26985,-737.36401
130.409503463336,-28.6372874681733,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.82527,0.14534,-71.43466,3.18171,-737.36401
130.410464577599,-28.6375636191694,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.81132,0.13864,-69.27573,3.19605,-737.36401
130.411425691862,-28.6378397701656,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.80680,0.14734,-68.36015,3.09847,-737.36401
130.412386806126,-28.6381159211617,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.79586,0.15692,-67.47124,3.00035,-737.36401
130.413347920389,-28.6383920721578,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.77794,0.16777,-65.54660,2.90084,-737.36401
130.414309034653,-28.638668223154,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.74166,0.17436,-63.99394,2.78725,-737.36401
130.415270148916,-28.6389443741501,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.71282,0.18686,-63.27599,2.68001,-737.36401
130.416231263179,-28.6392205251463,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.67904,0.19943,-61.70290,2.57481,-741.08014
130.417192377443,-28.6394966761424,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.64061,0.21149,-61.10023,2.47345,-741.08014
130.418153491706,-28.6397728271386,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.58955,0.21864,-60.53712,2.34741,-741.08014
130.41911460597,-28.6400489781347,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.54439,0.22932,-59.25126,2.25337,-741.08014
130.420075720233,-28.6403251291308,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.49667,0.23945,-58.41386,2.16492,-741.08014
130.421036834497,-28.640601280127,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.44133,0.24642,-58.06032,2.04787,-741.08014
130.42199794876,-28.6408774311231,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.39281,0.25443,-57.13343,1.96748,-741.08014
130.422959063023,-28.6411535821193,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.34403,0.26091,-56.89053,1.89607,-741.08014
130.423920177287,-28.6414297331154,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.29521,0.26613,-56.68734,1.83340,-741.08014
130.42488129155,-28.6417058841115,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.24567,0.26956,-56.02043,1.74922,-745.05896
130.425842405814,-28.6419820351077,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.20028,0.27219,-55.92090,1.70081,-745.05896
130.426803520077,-28.6422581861038,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.15740,0.27300,-55.82981,1.66299,-745.05896
130.42776463434,-28.6425343371,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.11997,0.27239,-55.46020,1.61643,-745.05896
130.428725748604,-28.6428104880961,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.08294,0.27063,-55.52166,1.59822,-745.05896
130.429686862867,-28.6430866390923,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.04849,0.26781,-55.61412,1.59090,-745.05896
130.430647977131,-28.6433627900884,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.01745,0.26377,-55.45556,1.59648,-745.05896
130.431609091394,-28.6436389410845,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.00218,0.25940,-55.63174,1.60233,-745.05896
130.432570205657,-28.6439150920807,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.02558,0.25348,-56.06749,1.63124,-749.02960
130.433531319921,-28.6441912430768,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.04567,0.24691,-56.15097,1.67151,-749.02960
130.434492434184,-28.644467394073,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.04567,0.24691,-56.45459,1.67151,-749.02960
130.435453548448,-28.6447435450691,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.05113,0.24150,-56.78242,1.71597,-747.82935
130.436414662711,-28.6450196960653,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06285,0.23463,-57.03724,1.78035,-747.82935
130.437375776974,-28.6452958470614,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.07080,0.22750,-57.42902,1.85625,-747.82935
130.438336891238,-28.6455719980575,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06391,0.22167,-57.84177,1.93658,-747.82935
