,X,Y,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
534,130.946725,-29.211715,0.000000,0.000000,0.000000,0.000000,0.000000
535,130.946905,-29.210731,0.000000,0.000000,0.000000,0.000000,0.000000
548,130.949237,-29.197942,0.000000,0.000000,0.000000,0.000000,0.000000
549,130.949417,-29.196958,0.000000,0.000000,0.000000,0.000000,0.000000
550,130.949596,-29.195975,0.000000,0.000000,0.000001,0.000000,0.000000
551,130.949775,-29.194991,0.000000,0.000000,0.000004,0.000000,0.000000
552,130.949955,-29.194007,0.000000,0.000000,0.000015,0.000000,0.000000
553,130.950134,-29.193023,0.000000,0.000000,0.000067,0.000000,0.000000
554,130.950314,-29.192040,0.000000,0.000000,0.000296,0.000000,0.000000
555,130.950493,-29.191056,0.000000,0.000000,0.000896,0.000000,0.000000
556,130.950672,-29.190072,0.000000,0.000000,0.002706,0.000000,0.000000
557,130.950852,-29.189088,0.000000,0.000000,0.006768,0.000000,0.000000
558,130.951031,-29.188105,0.000000,0.000000,0.016594,0.000000,0.000000
559,130.951211,-29.187121,0.000000,0.000000,0.039363,0.000000,0.000000
560,130.951390,-29.186137,0.000000,0.000000,0.062644,0.000000,0.000000
561,130.951570,-29.185153,0.000000,0.000000,0.084139,0.000000,0.000000
562,130.951749,-29.184169,0.000000,0.000000,0.108615,0.000000,0.000000
563,130.951928,-29.183186,0.000000,0.000000,0.133544,0.000000,0.000000
564,130.952108,-29.182202,0.000000,0.000000,0.155292,0.000000,0.000000
565,130.952287,-29.181218,0.000000,0.000000,0.169948,0.000000,0.000000
566,130.952467,-29.180234,0.000000,0.000000,0.124311,0.000000,0.000000
567,130.952646,-29.179251,0.000000,0.000000,0.087540,0.000000,0.000000
568,130.952825,-29.178267,0.000000,0.000000,0.059377,0.000000,0.000000
569,130.953005,-29.177283,0.000000,0.000000,0.038926,0.000000,0.000000
570,130.953184,-29.176299,0.000000,0.000000,0.024737,0.000000,0.000000
571,130.953364,-29.175315,0.000000,0.000000,0.012893,0.000000,0.000000
572,130.953543,-29.174332,0.000000,0.000000,0.006802,0.000000,0.000000
573,130.953722,-29.173348,0.000000,0.000000,0.003638,0.000000,0.000000
574,130.953902,-29.172364,0.000000,0.000000,0.001956,0.000000,0.000000
575,130.954081,-29.171380,0.000000,0.000000,0.001060,0.000000,0.000000
576,130.954261,-29.170397,0.000000,0.000000,0.000582,0.000000,0.000000
577,130.954440,-29.169413,0.000000,0.000000,0.000301,0.000000,0.000000
578,130.954620,-29.168429,0.000000,0.000000,0.000159,0.000000,0.000000
579,130.954799,-29.167445,0.000000,0.000000,0.000083,0.000000,0.000000
580,130.954978,-29.166462,0.000000,0.000000,0.000044,0.000000,0.000001
581,130.955158,-29.165478,0.000000,0.000000,0.000024,0.000000,0.000002
582,130.955337,-29.164494,0.000000,0.000000,0.000013,0.000000,0.000003
583,130.955517,-29.163510,0.000000,0.000000,0.000007,0.000000,0.000007
584,130.955696,-29.162526,0.000000,0.000000,0.000003,0.000000,0.000013
585,130.955875,-29.161543,0.000000,0.000000,0.000002,0.000000,0.000023
586,130.956055,-29.160559,0.000000,0.000000,0.000001,0.000000,0.000040
587,130.956234,-29.159575,0.000000,0.000000,0.000000,0.000000,0.000071
588,130.956414,-29.158591,0.000000,0.000000,0.000000,0.000000,0.000129
589,130.956593,-29.157608,0.000000,0.000000,0.000000,0.000000,0.000228
590,130.956772,-29.156624,0.000000,0.000000,0.000000,0.000000,0.000405
591,130.956952,-29.155640,0.000000,0.000000,0.000000,0.000000,0.000724
592,130.957131,-29.154656,0.000000,0.000000,0.000000,0.000000,0.001296
593,130.957311,-29.153672,0.000000,0.000000,0.000000,0.000000,0.001874
594,130.957490,-29.152689,0.000000,0.000000,0.000000,0.000000,0.002715
595,130.957670,-29.151705,0.000000,0.000000,0.000000,0.000000,0.003945
596,130.957849,-29.150721,0.000000,0.000000,0.000000,0.000000,0.005748
597,130.958028,-29.149737,0.000000,0.000000,0.000000,0.000000,0.008399
598,130.958208,-29.148754,0.000000,0.000000,0.000000,0.000000,0.012193
599,130.958387,-29.147770,0.000000,0.000000,0.000000,0.000000,0.017798
600,130.958567,-29.146786,0.000000,0.000000,0.000000,0.000000,0.026123
601,130.958746,-29.145802,0.000000,0.000000,0.000000,0.000000,0.029280
602,130.958925,-29.144818,0.000000,0.000000,0.000000,0.000000,0.032959
603,130.959105,-29.143835,0.000000,0.000001,0.000000,0.000000,0.037263
604,130.959284,-29.142851,0.000000,0.000004,0.000000,0.000000,0.042315
605,130.959464,-29.141867,0.000000,0.000017,0.000000,0.000000,0.048270
606,130.959643,-29.140883,0.000000,0.000063,0.000000,0.000000,0.055207
607,130.959823,-29.139900,0.000000,0.000214,0.000000,0.000000,0.063563
608,130.960002,-29.138916,0.000000,0.000578,0.000000,0.000000,0.073674
609,130.960181,-29.137932,0.000000,0.001397,0.000000,0.000000,0.085971
610,130.960361,-29.136948,0.000000,0.002963,0.000000,0.000000,0.071918
611,130.960540,-29.135965,0.000000,0.005496,0.000000,0.000000,0.060558
612,130.960720,-29.134981,0.000000,0.008797,0.000000,0.000000,0.051328
613,130.960899,-29.133997,0.000000,0.009861,0.000000,0.000000,0.043792
614,130.961078,-29.133013,0.000000,0.009957,0.000000,0.000000,0.037827
615,130.961258,-29.132029,0.000000,0.009180,0.000000,0.000000,0.032952
616,130.961437,-29.131046,0.000000,0.007801,0.000000,0.000000,0.028947
617,130.961617,-29.130062,0.000000,0.006364,0.000000,0.000000,0.025644
618,130.961796,-29.129078,0.000000,0.004885,0.000000,0.000000,0.015185
619,130.961975,-29.128094,0.000000,0.004265,0.000000,0.000000,0.009075
620,130.962155,-29.127111,0.000000,0.003728,0.000000,0.000000,0.005473
621,130.962334,-29.126127,0.000000,0.003153,0.000000,0.000000,0.003331
622,130.962514,-29.125143,0.000000,0.002554,0.000000,0.000000,0.002046
623,130.962693,-29.124159,0.000000,0.001799,0.000000,0.000000,0.001287
624,130.962873,-29.123175,0.000000,0.001218,0.000000,0.000000,0.000818
625,130.963052,-29.122192,0.000000,0.000686,0.000000,0.000000,0.000525
626,130.963231,-29.121208,0.000000,0.000331,0.000000,0.000000,0.000341
627,130.963411,-29.120224,0.000000,0.000140,0.000000,0.000000,0.000139
628,130.963590,-29.119240,0.000000,0.000055,0.000000,0.000000,0.000058
629,130.963770,-29.118257,0.000000,0.000020,0.000000,0.000000,0.000024
630,130.963949,-29.117273,0.000000,0.000006,0.000000,0.000000,0.000010
631,130.964128,-29.116289,0.000000,0.000002,0.000000,0.000000,0.000004
632,130.964308,-29.115305,0.000000,0.000000,0.000000,0.000000,0.000002
633,130.964487,-29.114322,0.000000,0.000000,0.000000,0.000000,0.000001
634,130.964667,-29.113338,0.000000,0.000000,0.000000,0.000000,0.000000
635,130.964846,-29.112354,0.000000,0.000000,0.000000,0.000000,0.000000
636,130.965026,-29.111370,0.000000,0.000000,0.000000,0.000000,0.000000
674,130.971843,-29.073987,0.000000,0.000000,0.000000,0.000000,0.000000
675,130.972023,-29.073003,0.000000,0.000006,0.000000,0.000000,0.000000
676,130.972202,-29.072019,0.000000,0.000115,0.000000,0.000000,0.000000
677,130.972381,-29.071035,0.000000,0.001502,0.000000,0.000000,0.000000
678,130.972561,-29.070052,0.000000,0.012730,0.000001,0.000000,0.000000
679,130.972740,-29.069068,0.000000,0.071138,0.000003,0.000000,0.000000
680,130.972920,-29.068084,0.000000,0.139066,0.000015,0.000000,0.000000
681,130.973099,-29.067100,0.000000,0.189372,0.000082,0.000000,0.000000
682,130.973279,-29.066117,0.000000,0.189877,0.000287,0.000000,0.000000
683,130.973458,-29.065133,0.000000,0.150774,0.000996,0.000000,0.000000
684,130.973637,-29.064149,0.000000,0.099998,0.003355,0.000000,0.000000
685,130.973817,-29.063165,0.000000,0.057072,0.011170,0.000000,0.000000
686,130.973996,-29.062181,0.000000,0.026793,0.035370,0.000000,0.000000
687,130.974176,-29.061198,0.000000,0.011916,0.076050,0.000000,0.000000
688,130.974355,-29.060214,0.000000,0.005201,0.114531,0.000000,0.000000
689,130.974534,-29.059230,0.000000,0.002262,0.146973,0.000000,0.000000
690,130.974714,-29.058246,0.000000,0.000979,0.157799,0.000000,0.000000
691,130.974893,-29.057263,0.000000,0.000455,0.110189,0.000000,0.000000
692,130.975073,-29.056279,0.000000,0.000215,0.062071,0.000000,0.000000
693,130.975252,-29.055295,0.000000,0.000102,0.022957,0.000000,0.000000
694,130.975431,-29.054311,0.000000,0.000047,0.006964,0.000000,0.000000
695,130.975611,-29.053328,0.000000,0.000021,0.001758,0.000000,0.000000
696,130.975790,-29.052344,0.000000,0.000009,0.000384,0.000000,0.000000
697,130.975970,-29.051360,0.000000,0.000004,0.000120,0.000000,0.000000
698,130.976149,-29.050376,0.000000,0.000002,0.000056,0.000000,0.000000
699,130.976329,-29.049392,0.000000,0.000001,0.000028,0.000000,0.000000
700,130.976508,-29.048409,0.000000,0.000000,0.000013,0.000000,0.000000
701,130.976687,-29.047425,0.000000,0.000000,0.000006,0.000000,0.000000
